shipment_id,shipment_status,shipment_ext_customer_id,shipment_ext_order_code,shipment_ext_tracking_number,shipment_weight,shipment_created_at,shipment_updated_at,customer_id,customer_tariff_id,customer_address_name,customer_address_street,customer_address_house_number,customer_address_zip,customer_address_city,customer_address_country_iso,product_id,product_name,product_code,product_carrier,product_partner,product_price,product_max_weight,product_src_country_iso,product_dest_country_iso
175,delivered,,JBD260507GWE002550000149,3.40433880660022E+017,25,2026-05-07T15:26:44.203,2026-05-13T19:03:17.871,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,21,DHL Paket 25,,DHL,GWE,9.05,25,DE,DE
177,delivered,,JBD260508GWE002550000206,3.40433880660022E+017,17,2026-05-08T07:33:37.752,2026-05-13T19:03:17.88,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
176,delivered,,JBD260507GWE002550000085,3.40433880660022E+017,21,2026-05-07T15:27:31.802,2026-05-13T19:03:17.881,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,21,DHL Paket 25,,DHL,GWE,9.05,25,DE,DE
178,delivered,,JBD260522GWE002550000283,3.40433880660022E+017,2,2026-05-22T09:45:24.54,2026-05-27T20:03:35.951,1,1,NEOS Logistics UG,Offenburger Straße,48,68239,Mannheim,DE,23,DHL Paket DE 2,,DHL,GWE,4.93025,2,DE,DE
188,delivered,,JBD260615GWE002550000398,3.40433880660022E+017,17,2026-06-15T14:00:08.337,2026-06-22T19:04:49.059,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
180,delivered,,JBD260612GWE002550000159,3.40433880660022E+017,16,2026-06-12T07:36:47.216,2026-06-22T19:04:49.556,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
185,delivered,,JBD260612GWE002550000034,3.40433880660022E+017,16,2026-06-12T07:54:46.925,2026-06-22T19:04:51.662,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
186,delivered,,JBD260612GWE002550000219,3.40433880660022E+017,21,2026-06-12T09:04:02.347,2026-06-22T19:04:54.647,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,21,DHL Paket 25,,DHL,GWE,9.05,25,DE,DE
187,delivered,,JBD260615GWE002550000046,3.40433880660022E+017,17,2026-06-15T13:59:32.013,2026-06-22T19:04:54.83,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
189,delivered,,JBD260615GWE002550000396,3.40433880660022E+017,17,2026-06-15T14:00:35.135,2026-06-22T19:04:54.86,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
184,delivered,,JBD260612GWE002550000118,3.40433880660022E+017,9,2026-06-12T07:54:38.923,2026-06-22T19:08:15.208,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,17,DHL Paket 10,,DHL,GWE,6.4,10,DE,DE
179,delivered,,JBD260612GWE002550000076,3.40433880660022E+017,16,2026-06-12T07:35:12.933,2026-06-22T19:08:15.336,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,19,DHL Paket 20,,DHL,GWE,8.1,20,DE,DE
190,delivered,,JBD260623GWE002550000306,3.40433880660022E+017,22,2026-06-23T07:44:19.061,2026-06-26T16:48:45.315,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,21,DHL Paket 25,,DHL,GWE,9.05,25,DE,DE
191,delivered,,JBD260623GWE002550000060,3.40433880660022E+017,5,2026-06-23T07:45:20.139,2026-06-26T16:48:46.522,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,16,DHL Paket 5,,DHL,GWE,5.75,5,DE,DE
194,delivered,,JBD260627GWE002550000254,3.40433880660022E+017,4,2026-06-26T16:50:01.967,2026-07-09T13:35:29.178,57,4,Q-Peak GmbH,Birkenstraße,1-5,63868,Großwallstadt,DE,16,DHL Paket 5,,DHL,GWE,5.75,5,DE,DE
78,in_transit,,JBD251223GWE002550000314,3.40433880660022E+017,2,2025-12-23T08:36:24.818,2026-07-16T22:23:22.169,48,4,UPS Capital Vers. GmbH,Robert-Bosch-Straße ,4,60386,Frankfurt/Main,DE,15,DHL Paket 2,,DHL,GWE,4.95,2,DE,DE
104,in_transit,,JBD251226GWE002550000315,3.40433880660022E+017,2,2025-12-23T20:34:28.397,2026-07-17T17:46:26.416,48,4,UPS Capital Vers. GmbH,Robert-Bosch-Straße ,4,60386,Frankfurt/Main,DE,15,DHL Paket 2,,DHL,GWE,4.95,2,DE,DE
106,in_transit,,JBD251226GWE002550000230,3.40433880660022E+017,2,2025-12-23T20:34:28.397,2026-07-17T17:46:26.594,48,4,UPS Capital Vers. GmbH,Robert-Bosch-Straße ,4,60386,Frankfurt/Main,DE,15,DHL Paket 2,,DHL,GWE,4.95,2,DE,DE
